address,size,kind,name,source,status
0x004c1c50,,function,Registers_BindFPR,physical FPR use tracking and object binding,inferred
0x004c1d60,,function,Registers_BindGPRPair,paired GPR object binding,inferred
0x004c1e40,,function,Registers_BindGPR,physical GPR use tracking and object binding,inferred
0x004c1f60,,function,Registers_AllocateVR,automatic VR allocation and binding,inferred
0x004c2040,,function,Registers_AllocateFPR,automatic FPR allocation and binding,inferred
0x004c2120,,function,Registers_AllocateGPRPair,automatic paired GPR allocation and binding,inferred
0x004c2280,,function,Registers_AllocateGPR,automatic GPR allocation and binding,inferred
0x004c4430,,function,COptimizer_Optimize,opt-level branches and CodeGen caller,inferred
0x004c4530,,function,COptimizer_Level4,opt-level branch and pass trace strings,confirmed
0x004c4910,,function,COptimizer_Level3,opt-level branch and pass trace strings,confirmed
0x004ccae0,,function,Scheduler_Schedule,CodeGen before and after scheduling boundaries,inferred
0x004ccf10,,function,Scheduler_004ccf10,Scheduler.c xref,inferred
0x004cdef0,,function,Coloring_AllocateRegisters,Coloring.c xref and CodeGen trace boundary,inferred
0x004ce1a0,,function,Coloring_CommitAssignments,PCode rewrite and object color commit,inferred
0x004ce2d0,,function,Coloring_SelectColors,neighbor-mask color selection and spill marking,inferred
0x004ce400,,function,Coloring_SimplifyGraph,degree simplification and spill-cost ranking,inferred
0x004ce5f0,,function,Coloring_SetupVRs,vector precolor initialization and object binding,inferred
0x004ce710,,function,Coloring_SetupFPRs,Coloring.c xref and FPR diagnostic mapping,inferred
0x004ce850,,function,Coloring_SetupGPRs,GPR precolor initialization and paired-object flags,inferred
0x00521a10,,function,COpt_00521a10,CodeMotion.c region and guarded tree traversal,inferred
0x00521a30,,function,COpt_00521a30,CodeMotion.c postorder tree traversal,inferred
0x00521bb0,,function,COpt_00521bb0,CodeMotion.c node and instruction summary,inferred
0x00523650,,function,COpt_SetLoopCodeMotionMode,CodeMotion.c region and per-block analysis setup,inferred
0x005240b0,,function,COpt_005240b0,code-motion def-use entry materialization,inferred
0x005246d0,,function,COpt_005246d0,code-motion explicit and implicit def-use census,inferred
0x005248c0,,function,COpt_005248c0,instruction and compiler-object type compatibility,inferred
0x00524b20,,function,COpt_00524b20,CodeMotion.c object-tree insertion,inferred
0x00524b90,,function,COpt_00524b90,CodeMotion.c object-tree lookup,inferred
0x00524bd0,,function,COpt_00524bd0,CodeMotion.c region and guarded pass coordinator,inferred
0x00524c10,,function,COpt_00524c10,CodeMotion.c postorder tree traversal,inferred
0x00524d90,,function,COpt_00524d90,per-loop-node instruction motion and reaching-definition transfer,inferred
0x00525070,,function,COpt_00525070,CodeMotion.c eligible-leaf traversal,inferred
0x00530050,,function,SpillCode_IsDeadInstruction,pre-liveness dead-definition filter,inferred
0x005301b0,,function,SpillCode_InitializeLiveness,per-block sets and ABI return-register seeds,inferred
0x00530410,,function,SpillCode_SolveLiveness,backward fixed-point block liveness,inferred
0x00530530,,function,SpillCode_BuildLocalLiveness,upward-exposed use and definition sets,inferred
0x00530a00,,function,SpillCode_BuildInterference,interference graph pipeline coordinator,inferred
0x00530a80,,function,SpillCode_MarkLastUses,backward liveness and last-use operand markers,inferred
0x00530c00,,function,SpillCode_MaterializeGraph,interference bit matrix to graph nodes,inferred
0x00530e00,,function,SpillCode_CoalesceCopies,copy removal edge transfer and operand canonicalization,inferred
0x00531290,,function,SpillCode_ConstructInterference,backward liveness interference edge construction,inferred
0x00531ab0,,function,SpillCode_00531ab0,SpillCode.c xref,inferred
0x00531cb0,,function,SpillCode_00531cb0,SpillCode.c xref,inferred
0x00531e80,,function,SpillCode_00531e80,SpillCode.c xref,inferred
0x00532190,,function,SpillCode_00532190,SpillCode.c xref,inferred
0x00532350,,function,SpillCode_00532350,SpillCode.c xref,inferred
0x00532520,,function,SpillCode_00532520,SpillCode.c xref,inferred
0x00532790,,function,SpillCode_ComputeSpillCosts,block-weighted operand cost accumulation,inferred
0x00540bbc,47,string,mwcc_version_banner,binary string,confirmed
0x00449e30,,function,IRO_BuildflowGraph,IRO_Optimizer post-pass trace name,confirmed
0x00455930,,function,IRO_EvaluateConditionals,IRO_Optimizer Second-pass trace enumeration,confirmed
0x00456860,,function,IRO_RemoveUnreachable,IRO_Optimizer post-pass trace name,confirmed
0x00456670,,function,IRO_RemoveRedundantJumps,IRO_Optimizer post-pass trace name,confirmed
0x00456620,,function,IRO_RemoveLabels,IRO_Optimizer post-pass trace name,confirmed
0x0044ab00,,function,IRO_ScalarizeClassDataMembers,IRO_Optimizer post-pass trace name,confirmed
0x00458970,,function,IRO_CopyAndConstantPropagation,IRO_Optimizer Before/After trace bracket; IRO_Optimizer Second-pass trace enumeration,confirmed
0x00456ba0,,function,IRO_RangePropagateInFNode,IRO_Optimizer post-pass trace name,confirmed
0x0042c9d0,,function,IRO_ExpressionPropagation,IRO_Optimizer post-pass trace name,confirmed
0x00459b30,,function,IRO_UseDef,IRO_Optimizer post-pass trace name,confirmed
0x00455a70,,function,IRO_ConstantFolding,IRO_Optimizer Second-pass trace enumeration,confirmed
0x0045fa80,,function,IRO_LoopUnroller,IRO_Optimizer Before/After trace bracket,confirmed
0x00461040,,function,IRO_FindLoops,self-naming trace string in its own body,confirmed
0x0044df00,,function,IRO_CommonSubs,IRO_Optimizer post-pass trace name,confirmed
0x00456a60,,function,IRO_DoJumpChaining,IRO_Optimizer post-pass trace name,confirmed
0x0044ade0,,function,RewriteBitFieldTemps,IRO_Optimizer Before/After trace bracket,confirmed
0x0044d830,,function,IRO_Dump_0044d830,IRO_Optimizer stage-name print callee; exact operation not established,inferred
0x0045f7c0,,function,IRO_FindLoops_Unroll,self-naming trace string in its own body,confirmed
0x0045cea0,,function,IRO_UnrollLoop_0045cea0,sole per-innermost-loop call from IRO_FindLoops_Unroll; body not reconstructed,inferred
0x004614f0,,function,IRO_CollectLoopBlocks_004614f0,self-recursive loop-body bit vector walker called from both loop finders,inferred
0x00462c60,,function,IRO_BitVectorAllocate_00462c60,called with (vector slot, bit count) before use,inferred
0x00462a80,,function,IRO_BitVectorClear_00462a80,19-byte leaf called on a vector before seeding bits,inferred
0x00462aa0,,function,IRO_BitVectorCopy_00462aa0,called with (destination, source) vector pair,inferred
0x00462a20,,function,IRO_BitVectorContains_00462a20,pairwise loop predicate; clears the innermost flag when true,inferred
0x00445780,,function,IRO_BitVectorAssert_00445780,called with ("BitVector.h", line) on out-of-range bit index,inferred
0x00587104,,data,IRO_LoopList_00587104,head of the loop record list built by IRO_FindLoops_Unroll,inferred
0x005880dc,,data,IRO_LoopScratchVector_005880dc,scratch block bit vector reused per loop,inferred
0x005842f0,,data,IRO_UnrollOption_005842f0,signed option byte passed to the unroll worker,inferred
0x004c60b0,,function,CodeGen_PostAllocationPeephole_004c60b0,runs between the AFTER MERGING EPILOGUE PROLOGUE and AFTER PEEPHOLE OPTIMIZATION dumps; observed merging an address chain,inferred
0x004c6100,,function,CodeGen_MergeEpiloguePrologue_004c6100,runs before the AFTER MERGING EPILOGUE, PROLOGUE dump,inferred
0x004c4bd0,,function,CodeGen_DumpPCode_004c4bd0,CodeGen_Generator stage-dump callee taking (name, label),inferred
0x004c6320,,function,CodeGen_RegisterPeepholeRules_004c6320,clears the handler table at 0x005813b0 then pushes 90 handler records across 41 opcodes,inferred
0x004c7a30,,function,CodeGen_PeepholeBlock_004c7a30,per-block dispatcher: indexes 0x005813b0 by opcode and calls each record +0x4,inferred
0x004c8d90,,function,CodeGen_PeepholeCombineAddi_004c8d90,sole handler registered for opcode 0x3f; merges an ADDI pair into one,inferred
0x005813b0,,data,CodeGen_PeepholeHandlers_005813b0,per-opcode handler lists used by 0x004c7a30,inferred
0x00581af8,,data,CodeGen_ReachingDefTable_00581af8,indexed by an instruction field +0x10 to reach its defining instruction,inferred
